A,B,Cin,Sum,Cout,Switching_Activity,Transistor_Count,Power_mW,Delay_ns
1,1,0,0,1,2,28,2.557663619716354,1.626025342153844
1,0,0,1,0,1,28,1.619842497204988,1.4269298913143338
0,0,0,0,0,0,28,0.8098074106979627,1.0518993013090627
0,1,0,1,0,1,28,1.3576687509334926,1.2783527342641992
0,0,1,1,0,1,28,1.3465891888761536,1.4496883616818435
1,0,0,1,0,1,28,1.72349578534284,1.3446750230268802
0,1,1,0,1,2,28,2.5414975653550993,1.559391500094587
1,1,0,0,1,2,28,2.186553969837438,1.6529141448354656
0,0,1,1,0,1,28,1.3965920207290987,1.4105207259700294
0,1,1,0,1,2,28,2.36567854369517,1.5816078370799649
0,1,1,0,1,2,28,2.4987336467075556,1.5325115522546306
1,1,1,1,1,3,28,2.9879683122293255,1.9467233742838796
1,0,1,0,1,2,28,2.304045392485981,1.6731932975996642
1,1,0,0,1,2,28,2.205928829920676,1.6139074132474351
0,0,1,1,0,1,28,1.675010664316254,1.3723909888965684
1,0,0,1,0,1,28,1.5671399239256876,1.412135282451776
1,1,1,1,1,3,28,3.3632944266858606,1.9111918307169822
0,0,1,1,0,1,28,1.7829301687672876,1.2670758798915727
0,0,1,1,0,1,28,1.4193794446010537,1.3080807974958022
1,1,1,1,1,3,28,3.110827035771902,1.8318845451774475
0,1,0,1,0,1,28,1.4224185997052734,1.3678181446667415
1,1,0,0,1,2,28,2.4046064112680576,1.535038442764176
0,1,1,0,1,2,28,2.5374257591968465,1.6148209282618071
0,0,1,1,0,1,28,1.771473284474137,1.3149523495641406
0,0,1,1,0,1,28,1.5397265951881596,1.4204172915241318
1,1,0,0,1,2,28,2.577623632923504,1.5432356408480403
1,0,0,1,0,1,28,1.5128253771032052,1.4024239025516287
0,0,0,0,0,0,28,0.9855580179674213,1.1783408805467674
1,1,0,0,1,2,28,2.3086488079259238,1.5965150174381504
1,0,1,0,1,2,28,2.471430874365738,1.5536863118538315
0,0,0,0,0,0,28,0.6926400299633025,1.033570730864658
1,1,0,0,1,2,28,2.517148116234173,1.6974337308539986
0,0,1,1,0,1,28,1.5459496839840112,1.3418819979804484
0,1,1,0,1,2,28,2.4438889316257537,1.5641085741587282
0,1,1,0,1,2,28,2.4276256017927977,1.6604647512877033
0,1,1,0,1,2,28,2.3120428308518055,1.6573055561702685
0,0,1,1,0,1,28,1.5714446278541434,1.3521895969531386
1,0,1,0,1,2,28,2.366868472329923,1.5405897520230494
1,1,1,1,1,3,28,3.2208414880960183,1.8980338342417578
1,0,0,1,0,1,28,1.698154425577305,1.419347926976453
0,1,1,0,1,2,28,2.236402264519735,1.6899042749042092
1,1,0,0,1,2,28,2.140552304139176,1.506842083198373
1,0,0,1,0,1,28,1.441838005079478,1.4032079071846262
0,1,1,0,1,2,28,2.298720403201829,1.6259008273263447
0,1,1,0,1,2,28,2.330547369605984,1.5861934207654922
0,0,0,0,0,0,28,0.8125965265958788,1.158786181172193
1,1,1,1,1,3,28,3.205705205797902,1.9232203766896383
0,1,0,1,0,1,28,1.4346702275184653,1.3607980602894831
1,1,1,1,1,3,28,2.9014203356496333,1.7705785055681433
0,0,0,0,0,0,28,0.9790600570373686,1.0071350345123697
1,0,1,0,1,2,28,2.17463499857884,1.6748748095577106
1,1,0,0,1,2,28,2.4790448269964314,1.5896595359304475
1,0,1,0,1,2,28,2.173055879151989,1.6937809652183904
1,0,0,1,0,1,28,1.3897113491095907,1.3433055968239174
0,0,0,0,0,0,28,0.9655855837141908,1.0404491044030921
0,0,1,1,0,1,28,1.3286936722730127,1.3749486378430524
1,0,1,0,1,2,28,2.193513597047816,1.5492771964869585
1,0,0,1,0,1,28,1.5834150729079581,1.4445677094692333
0,0,0,0,0,0,28,0.8864386056682781,1.0790608165845297
0,0,1,1,0,1,28,1.3013918097507848,1.343201831156658
1,1,1,1,1,3,28,2.9916707601483887,1.9495878125878876
1,1,1,1,1,3,28,3.2797038806477112,1.8494819755953988
1,1,0,0,1,2,28,2.517369870969003,1.6733235061004064
0,0,1,1,0,1,28,1.34913122132153,1.328318419015545
0,1,1,0,1,2,28,2.5190848006798277,1.508139471664281
0,0,0,0,0,0,28,0.5368462214892193,1.1051867637208417
0,0,0,0,0,0,28,0.9926531322349392,1.19822343489741
0,1,0,1,0,1,28,1.4355756115158032,1.3267798990999908
0,0,1,1,0,1,28,1.510348683522405,1.3701834675748947
0,0,1,1,0,1,28,1.4900008153123783,1.3437455678226653
0,1,1,0,1,2,28,2.4716064857625257,1.648286859580145
0,1,1,0,1,2,28,2.165375519120566,1.6395343294877687
1,1,0,0,1,2,28,2.537727964009855,1.6788689719149412
1,1,0,0,1,2,28,2.1633057461610288,1.6485529663841603
0,0,1,1,0,1,28,1.7233231372542437,1.3396847365118563
1,1,1,1,1,3,28,3.0347315533691788,1.9119007359721871
0,1,0,1,0,1,28,1.4657480482782799,1.3771626709935239
0,1,1,0,1,2,28,2.4688655490221025,1.590041807880785
0,1,1,0,1,2,28,2.1060994587861663,1.635420710300517
1,0,0,1,0,1,28,1.5650681811032885,1.345991059084136
1,1,1,1,1,3,28,3.176313707832561,1.8611589029227316
0,1,0,1,0,1,28,1.4331807695923242,1.4155025294570371
1,1,1,1,1,3,28,2.999327342218666,1.7571272614101177
1,1,0,0,1,2,28,2.39756715517835,1.5941864124832472
0,1,0,1,0,1,28,1.3437453651163067,1.2994543249838104
0,0,1,1,0,1,28,1.3548888380916861,1.3594448171744662
1,0,0,1,0,1,28,1.3163414322803813,1.4160856576199534
1,1,1,1,1,3,28,3.265102980522347,1.8516088048251997
0,1,1,0,1,2,28,2.5834549123147372,1.5477731506978625
0,1,1,0,1,2,28,2.293962124498101,1.6872159764771184
0,0,1,1,0,1,28,1.398512856006632,1.362171079175127
0,1,0,1,0,1,28,1.6032504775922392,1.2832043171929925
1,0,0,1,0,1,28,1.4358371163860182,1.4205607265330225
0,1,0,1,0,1,28,1.6238025420456288,1.3733905798737873
1,1,1,1,1,3,28,3.32536373039293,1.892226015721157
0,0,0,0,0,0,28,0.5272659940946346,1.1829031380333301
0,0,1,1,0,1,28,1.337340086438413,1.4022046600462388
1,0,1,0,1,2,28,2.4716814303426773,1.5517894967203272
1,0,1,0,1,2,28,2.390369103192966,1.6338434340799433
1,0,1,0,1,2,28,2.5368490240046295,1.5692801150788347
1,0,0,1,0,1,28,1.4410850728454094,1.4340550550253615
0,1,0,1,0,1,28,1.770243479310165,1.3922510573606894
1,0,1,0,1,2,28,2.439578598575515,1.5381560153354628
0,1,1,0,1,2,28,2.572601120841398,1.553955045159193
0,0,1,1,0,1,28,1.7053483980445574,1.3206646512389302
1,1,1,1,1,3,28,3.267191337120026,1.7585747992921779
1,0,1,0,1,2,28,2.5910582680600522,1.656491649949249
0,0,0,0,0,0,28,0.9048341918593812,1.0296631360415034
1,1,0,0,1,2,28,2.2077545006015673,1.5307795311102887
0,1,1,0,1,2,28,2.591002621484955,1.5986547329654566
0,0,1,1,0,1,28,1.5405748866460196,1.2629852246925544
0,1,0,1,0,1,28,1.3688443603813418,1.3088852681707113
0,0,0,0,0,0,28,0.5115886741591696,1.0111501604935142
0,1,1,0,1,2,28,2.4738181312675667,1.629454605545544
0,1,1,0,1,2,28,2.368104565974827,1.539158122940259
0,1,0,1,0,1,28,1.7929991179675655,1.4103126297674478
0,0,1,1,0,1,28,1.7599019959986117,1.4229750377337407
1,1,1,1,1,3,28,3.3623881093410652,1.7947154639038891
1,1,1,1,1,3,28,3.0212138191320514,1.8228451600641304
1,1,0,0,1,2,28,2.431384386876608,1.6495624293074524
0,0,0,0,0,0,28,0.5038277320396245,1.1552566693158013
0,1,0,1,0,1,28,1.3907452143416188,1.2754764407731682
0,1,0,1,0,1,28,1.4427609848439678,1.3370889053948478
0,1,1,0,1,2,28,2.5999531814271597,1.6873752651413645
0,0,0,0,0,0,28,0.9230957246296608,1.0906819149539952
0,0,1,1,0,1,28,1.3813794964413577,1.2604721559464234
0,0,1,1,0,1,28,1.60870929479014,1.2827647975726788
0,1,1,0,1,2,28,2.579021660584549,1.5847264726604324
1,1,0,0,1,2,28,2.4064482684918858,1.6365589849230582
1,0,1,0,1,2,28,2.1937821901997965,1.5777608955853422
1,1,0,0,1,2,28,2.1941098486456188,1.6146694913555995
0,1,0,1,0,1,28,1.6413512013352416,1.4067903488247575
1,0,1,0,1,2,28,2.472543688621801,1.5696836589863845
1,0,1,0,1,2,28,2.550967605216058,1.5649046339508375
0,0,1,1,0,1,28,1.5261980580165293,1.3902787706245465
1,1,0,0,1,2,28,2.1318941667065467,1.6693681891644527
1,1,0,0,1,2,28,2.336252276197848,1.680410608303498
1,0,0,1,0,1,28,1.7720415508981253,1.3594971482380276
1,1,0,0,1,2,28,2.5237321911742274,1.5948904624582114
0,0,1,1,0,1,28,1.7480483079775841,1.3663835822258363
0,0,0,0,0,0,28,0.8177596381941367,1.0072258188478378
1,0,1,0,1,2,28,2.108317103569652,1.547163430014519
0,1,1,0,1,2,28,2.1265028086894255,1.687297742459682
1,0,1,0,1,2,28,2.2537606822620435,1.6541463615720777
1,0,0,1,0,1,28,1.7102800350387801,1.444408804712977
0,1,0,1,0,1,28,1.6434626803678993,1.276263086311376
0,0,1,1,0,1,28,1.604729257369185,1.4474022487503382
0,1,0,1,0,1,28,1.5892987729222587,1.2582430136499037
1,0,1,0,1,2,28,2.1076085954938515,1.6283059050601933
1,0,1,0,1,2,28,2.5519879098753355,1.5489642232149445
1,0,1,0,1,2,28,2.334986443529118,1.69090350460325
1,1,0,0,1,2,28,2.2458440562532935,1.5570706203911095
1,0,0,1,0,1,28,1.457537950100099,1.2635607336153742
1,0,1,0,1,2,28,2.1584690576931953,1.6255733021350527
1,1,1,1,1,3,28,3.3156987677401433,1.85403429954033
1,0,1,0,1,2,28,2.518216086749676,1.6901828779381252
0,1,1,0,1,2,28,2.124334078632806,1.6971251001814005
0,0,0,0,0,0,28,0.6867826313015724,1.156130327550554
0,1,0,1,0,1,28,1.3107150332762763,1.349394841595132
0,1,0,1,0,1,28,1.5635385744036832,1.3344418133890708
1,1,1,1,1,3,28,3.009579856599652,1.7940604227268193
1,1,1,1,1,3,28,3.2135559963807245,1.9212344768283387
1,0,0,1,0,1,28,1.4616550635293595,1.3264886013950208
0,1,1,0,1,2,28,2.4316965797911654,1.5241170706389195
0,1,1,0,1,2,28,2.2246399881061736,1.694249983578448
1,0,0,1,0,1,28,1.7533744242830347,1.263488983390312
0,0,0,0,0,0,28,0.9183458660974022,1.1302852920021045
1,1,1,1,1,3,28,3.3273730720620014,1.7891757336852596
1,0,0,1,0,1,28,1.7031847971752543,1.3256767236541827
0,0,0,0,0,0,28,0.5462553609302861,1.1631780901021098
1,1,0,0,1,2,28,2.580575570642471,1.5738290746942054
1,0,0,1,0,1,28,1.5617196481180025,1.2775680720611438
0,1,1,0,1,2,28,2.5570923307004314,1.503678511759362
1,0,1,0,1,2,28,2.1466550121405312,1.6718538434814612
1,0,0,1,0,1,28,1.7574421754337135,1.313072424723188
1,0,0,1,0,1,28,1.3608398165114353,1.360280284865259
0,0,1,1,0,1,28,1.7695513842922423,1.3494067357804107
1,1,1,1,1,3,28,3.1031689607717667,1.806062962848165
1,0,1,0,1,2,28,2.1497831431598735,1.6205062369494379
0,1,0,1,0,1,28,1.4640336218161036,1.4224031617730335
1,1,0,0,1,2,28,2.1846213492564748,1.6512155823699801
1,1,1,1,1,3,28,3.0734730227202047,1.9237597608876131
0,0,0,0,0,0,28,0.7299339374120479,1.1455195284746287
0,0,1,1,0,1,28,1.628504363474646,1.390990861256199
0,0,0,0,0,0,28,0.8617161388765303,1.1363754844787455
1,1,1,1,1,3,28,3.2131841159186916,1.9417661965020314
1,0,1,0,1,2,28,2.294143511333316,1.590469839951218
0,0,0,0,0,0,28,0.5404782751587298,1.0624680128878472
1,1,0,0,1,2,28,2.1646445862336567,1.6712291911357988
0,0,0,0,0,0,28,0.6338459587289692,1.1214097007579333
0,0,0,0,0,0,28,0.947431962556658,1.0611841293722535
0,0,0,0,0,0,28,0.5724146434220907,1.177817564384826
1,0,0,1,0,1,28,1.5995724863706482,1.3632925027903702
0,0,1,1,0,1,28,1.5098999774105963,1.2990797398126814
0,1,0,1,0,1,28,1.3641445196925959,1.3837034587455146
0,1,0,1,0,1,28,1.4792526152935213,1.339020587470014
1,0,0,1,0,1,28,1.4388848908562069,1.3359259946075006
1,0,0,1,0,1,28,1.4345208142762351,1.3010880642576625
1,0,0,1,0,1,28,1.727622269413346,1.4077971859773037
0,0,1,1,0,1,28,1.5831766474925344,1.4285096572252494
0,0,0,0,0,0,28,0.9000255795139245,1.1320577735095039
0,1,0,1,0,1,28,1.5141609221369392,1.3702017695627302
1,1,0,0,1,2,28,2.2122121765566654,1.5194640246313962
0,0,1,1,0,1,28,1.6985486091358653,1.2611787791631963
0,1,0,1,0,1,28,1.7714666638887122,1.3038615491062528
0,1,1,0,1,2,28,2.1311410773040826,1.6502454531822344
0,0,1,1,0,1,28,1.462419735103924,1.3104783873539443
1,0,0,1,0,1,28,1.661242148079074,1.4087570354918777
0,0,0,0,0,0,28,0.5922861627221272,1.1301420723354083
1,1,1,1,1,3,28,3.0580262753124297,1.8800768020299452
1,1,0,0,1,2,28,2.2159560884221845,1.6736789335857294
1,1,0,0,1,2,28,2.2476431402962525,1.6696617390114847
1,1,1,1,1,3,28,2.9766119832029543,1.8723854013173267
0,1,0,1,0,1,28,1.516084939759146,1.3777385125183952
0,0,0,0,0,0,28,0.8395230705069356,1.082699767352106
1,0,0,1,0,1,28,1.336864647886276,1.2885055896069268
0,0,1,1,0,1,28,1.6032300802090669,1.3597680611365792
0,1,0,1,0,1,28,1.6152401529462046,1.405874467315995
1,1,0,0,1,2,28,2.43267129034944,1.5355811406844013
1,1,0,0,1,2,28,2.406254359719304,1.6730638166244844
1,1,0,0,1,2,28,2.5653668338153044,1.5758515886733975
1,1,1,1,1,3,28,3.1487109655606034,1.8612375155053928
0,1,0,1,0,1,28,1.7365182038191502,1.2679674487613986
1,1,1,1,1,3,28,3.248151391512285,1.857293547857794
1,1,1,1,1,3,28,2.9205950802148175,1.780945308255322
0,0,1,1,0,1,28,1.3339342219299248,1.3259604690530908
0,1,1,0,1,2,28,2.2401344493710322,1.6657509140408928
0,1,0,1,0,1,28,1.7695153915397068,1.411011397715216
1,1,1,1,1,3,28,3.0774149577906607,1.77694713358178
1,0,1,0,1,2,28,2.4463245420959026,1.5359497676884668
0,0,1,1,0,1,28,1.4218108262114855,1.3463283330505993
0,0,0,0,0,0,28,0.5928497560118223,1.0810941855273883
1,1,1,1,1,3,28,3.193765408965489,1.8531942396041734
0,1,1,0,1,2,28,2.409111733439092,1.583571735371265
1,0,0,1,0,1,28,1.6483506917698656,1.4254999191857212
0,1,1,0,1,2,28,2.184126804922102,1.6067859707426828
0,0,0,0,0,0,28,0.8507747234957443,1.0399344216277873
0,0,1,1,0,1,28,1.3134107828788482,1.4195366842660482
1,1,0,0,1,2,28,2.4693506916018064,1.5198650001788532
0,1,0,1,0,1,28,1.4960883654169914,1.3449572433352686
1,1,1,1,1,3,28,3.1500934918287915,1.7682099242874676
0,1,0,1,0,1,28,1.3713955887577525,1.3446077743318359
0,1,0,1,0,1,28,1.6654063459481165,1.3695096392899875
1,0,0,1,0,1,28,1.3646332542106836,1.278547340702326
0,0,1,1,0,1,28,1.7648656982666553,1.4113896128800327
0,1,0,1,0,1,28,1.7793412215234514,1.2610819020451371
1,1,0,0,1,2,28,2.1859234572996993,1.6350698845125307
1,1,1,1,1,3,28,3.209133649776535,1.7886789829068463
1,0,1,0,1,2,28,2.566852197196302,1.616892180039668
0,0,1,1,0,1,28,1.7142644902881503,1.286839612113108
0,0,1,1,0,1,28,1.721861315529111,1.3291683399840721
0,1,0,1,0,1,28,1.5760726646992351,1.3893804095645572
1,1,0,0,1,2,28,2.1504715708204882,1.5020677699411515
0,0,1,1,0,1,28,1.3077539019510478,1.3075752506858578
1,1,1,1,1,3,28,3.2839912023393367,1.8411809296802664
0,0,1,1,0,1,28,1.3516141241932498,1.4334377237661495
1,1,1,1,1,3,28,3.1671887327994823,1.8064916525727799
0,0,1,1,0,1,28,1.3434039636716535,1.3164021742749794
0,0,1,1,0,1,28,1.5293919365689248,1.4236464968527363
0,1,0,1,0,1,28,1.5809375578676537,1.2758733475126414
0,1,0,1,0,1,28,1.331625106621099,1.2715578629179891
0,0,0,0,0,0,28,0.5678032227462473,1.0129894593066853
0,0,1,1,0,1,28,1.406590381292471,1.3397546127765432
1,0,0,1,0,1,28,1.5211451489328611,1.2522737269726543
1,0,0,1,0,1,28,1.5875054023627744,1.294129615509486
0,1,0,1,0,1,28,1.366278967715459,1.3215160156780923
0,1,1,0,1,2,28,2.326263487685775,1.6179012147500602
1,0,1,0,1,2,28,2.555655276436413,1.5274734901524707
0,1,0,1,0,1,28,1.7442606305133281,1.3448400389147015
0,0,0,0,0,0,28,0.8310564255085955,1.0540181806742488
0,0,0,0,0,0,28,0.9833439922490483,1.1608394703199532
1,0,0,1,0,1,28,1.411623470277898,1.4196286086773227
1,1,1,1,1,3,28,3.283756369978297,1.840012982849062
0,0,1,1,0,1,28,1.5237335035704456,1.3056096931590315
1,1,0,0,1,2,28,2.5949195804925145,1.6218698904233857
1,0,0,1,0,1,28,1.4191694194622926,1.268419041820764
0,0,1,1,0,1,28,1.3553454217255199,1.4217796935177769
1,0,1,0,1,2,28,2.248699548883848,1.651330861427723
1,1,1,1,1,3,28,3.376133857372365,1.9184738359536564
0,0,1,1,0,1,28,1.5081944005738204,1.3460605184156107
1,0,1,0,1,2,28,2.5162177242414363,1.6524593117830568
1,1,1,1,1,3,28,3.1574451999718183,1.8831970228070778
0,0,1,1,0,1,28,1.6124906097865885,1.3687695857160755
1,1,0,0,1,2,28,2.4625692066615623,1.6867908150516624
1,1,1,1,1,3,28,2.98535353550853,1.7976305787716624
0,0,1,1,0,1,28,1.4435697193194832,1.3075987780002383
0,0,0,0,0,0,28,0.8990310287113625,1.017143203339474
1,1,1,1,1,3,28,3.1171452222220797,1.9451699024129776
0,1,0,1,0,1,28,1.571583675001608,1.4482901178310814
0,0,0,0,0,0,28,0.8988919864466405,1.1010281201347905
1,0,0,1,0,1,28,1.499003029522152,1.4409945179475285
1,0,1,0,1,2,28,2.397293937239101,1.6923775614334486
1,1,1,1,1,3,28,3.107106691523466,1.7939895099581342
1,0,1,0,1,2,28,2.3329299968817514,1.524777906753656
1,1,0,0,1,2,28,2.281603661696714,1.5954446864378715
0,1,0,1,0,1,28,1.7636497262418211,1.4300499454116942
1,0,1,0,1,2,28,2.4280228545585247,1.5242705741782874
0,0,0,0,0,0,28,0.6421674869928412,1.1467752390695687
1,0,0,1,0,1,28,1.7332119169979707,1.4242990816239973
1,0,1,0,1,2,28,2.3056832505294826,1.6703107445776226
1,1,1,1,1,3,28,3.2794268497169075,1.915642918836735
0,0,1,1,0,1,28,1.4577810640581166,1.2922347607750035
1,1,1,1,1,3,28,3.202125027462688,1.8238582932774545
0,0,0,0,0,0,28,0.6144176491232125,1.0238532491993229
0,1,1,0,1,2,28,2.3004123488467796,1.5892216904166583
0,0,0,0,0,0,28,0.5654182151332303,1.1352675200272595
1,0,0,1,0,1,28,1.390149855020901,1.4333022363267445
0,1,0,1,0,1,28,1.7758533214672478,1.375752543069762
1,1,1,1,1,3,28,3.020147829738822,1.8580678030802396
0,0,1,1,0,1,28,1.3754561701373205,1.2873497117933075
1,1,0,0,1,2,28,2.152393926978468,1.5410576642379743
0,0,1,1,0,1,28,1.490218289612321,1.4271466254848368
1,1,1,1,1,3,28,3.242795496885568,1.7902505906658217
0,0,0,0,0,0,28,0.9648972949967358,1.1758722870219391
1,0,1,0,1,2,28,2.504291638523111,1.562534247620865
0,0,0,0,0,0,28,0.5962561411162579,1.0582476121573892
0,1,1,0,1,2,28,2.168358954018669,1.609681279572036
1,0,0,1,0,1,28,1.7887993182902888,1.4115044538027142
1,0,0,1,0,1,28,1.7129523306686114,1.4450383374940525
0,1,1,0,1,2,28,2.2017440603121106,1.631765809277018
0,1,0,1,0,1,28,1.373211157114941,1.3358142066878744
1,0,0,1,0,1,28,1.6453701554685276,1.4483722363560632
0,0,0,0,0,0,28,0.6716567365454882,1.1355830421922777
1,1,0,0,1,2,28,2.2794404171322213,1.637647255053941
0,0,1,1,0,1,28,1.3838346746072552,1.4293584341180667
1,0,0,1,0,1,28,1.5024874753418773,1.387527066246052
